Fecha,Agente Representante,Total Generado
2022-01-01,4E GROUP S.A.S E.S.P.,15688.8
2022-01-01,AES COLOMBIA & CIA. S.C.A. E.S.P.,1213886.8
2022-01-01,ATLÁNTICA COLOMBIA S.A.S. E.S.P.,139351.78
2022-01-01,AURES BAJO S.A.S. E.S.P.,371951.8
2022-01-01,BIOGAS COLOMBIA S.A.S. E.S.P ,13733.16
2022-01-01,CCG ENERGY S.A.S. E.S.P.,14668.0
2022-01-01,CELSIA COLOMBIA S.A. E.S.P.,9862924.629999999
2022-01-01,CENTRAL HIDROELÉCTRICA CONCORDIA S.A.S. E.S.P.,77506.0
2022-01-01,CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,602718.9
2022-01-01,COMPAÑIA DE ELECTRICIDAD DE TULUA S.A. E.S.P.,196646.86000000002
2022-01-01,COMPAÑÍA ELÉCTRICA DE SOCHAGOTA  S.A. E.S.P.,3410333.26
2022-01-01,COMPAÑÍA INTEGRAL ENERGETICA S.A.S E.S.P,14480.869999999999
2022-01-01,DEPI ENERGY S.A.S. E.S.P.,26245.22
2022-01-01,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,53647.46
2022-01-01,EMPRESA DE ENERGIA DE PEREIRA S.A. E.S.P.,133725.13
2022-01-01,EMPRESA DE GENERACION Y PROMOCION DE ENERGIA DE ANTIOQUIA S.A. E.S.P.,159295.68
2022-01-01,EMPRESA GENERADORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA DE COLOMBIA S.A. E.S.P.,9858.49
2022-01-01,EMPRESA MUNICIPAL DE ENERGIA ELECTRICA S.A. E.S.P.,89696.0
2022-01-01,EMPRESA URRA S.A. E.S.P.,1906615.21
2022-01-01,EMPRESAS PUBLICAS DE CALARCA ESP,35310.53
2022-01-01,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,47067979.8
2022-01-01,ENEL COLOMBIA SA ESP,25997419.98
2022-01-01,ENERCO S.A. E.S.P.,93650.71
2022-01-01,ENERGETICA S.A. E.S.P.,12652.24
2022-01-01,ENERGIA DEL RIO PIEDRAS S.A. E.S.P,175569.6
2022-01-01,ENERGIA DEL SUROESTE S.A. E.S.P.,106175.79999999999
2022-01-01,ENERGIA RENOVABLE DE COLOMBIA S.A. E.S.P.,46604.909999999996
2022-01-01,ESPACIO PRODUCTIVO S.A.S. E.S.P.,210434.4
2022-01-01,FUENTES DE ENERGIAS RENOVABLES S.A.S. E.S.P.,7137.03
2022-01-01,GENERADORA ALEJANDRIA S.A.S. E.S.P.,189367.0
2022-01-01,GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,9424530.36
2022-01-01,GENERPUTUMAYO S.A.S. E.S.P.,14254.3
2022-01-01,GENERSA S.A.S. E.S.P.,249504.0
2022-01-01,GESTION ENERGETICA S.A. E.S.P.,3140369.5
2022-01-01,HIDROELECTRICA BARRANCAS SAS ESP,55828.0
2022-01-01,HIDROELECTRICA DEL ALTO PORCE S.A.S. E.S.P.,1874245.76
2022-01-01,HIDROTOLIMA S.A. E.S.P.,178879.46
2022-01-01,HZ ENERGY S.A.S. E.S.P.,94080.18
